<Items Description="SocialSecurityBenefitsRate" Columns="Date,Benefit,Rate">	
	<Item Date="20161101" Benefit="ПриРожденииРебенка" Rate="1755.00"/>
	<Item Date="20161101" Benefit="ПриРожденииВторогоИПоследующихДетей" Rate="2457.00"/>
	<Item Date="20161101" Benefit="ПриПостановкеНаУчетВРанниеСрокиБеременности" Rate="175.50"/>
	<Item Date="20161101" Benefit="ПоУходуЗаРебенкомДоТрехЛет" Rate="260.26"/>
	<Item Date="20161101" Benefit="ПоУходуЗаРебенкомДоТрехЛетНаВторогоРебенка" Rate="297.44"/>	
	<Item Date="20161101" Benefit="ПособиеНаРебенкаДо3ЛетНаРебенкаИнвалида" Rate="334.62"/>	
	<Item Date="20161101" Benefit="ПоУходуЗаРебенкомДоТрехЛетНаВторогоРебенка50ПроцентовБПМ" Rate="87.75"/>
	<Item Date="20161101" Benefit="ПособиеНаРебенкаСтарше3ЛетКромеРебенкаИнвалида" Rate="87.75"/>
	<Item Date="20161101" Benefit="ПособиеНаРебенкаСтарше3ЛетНаРебенкаИнвалида" Rate="122.85"/>
	<Item Date="20161101" Benefit="ПособиеНаРебенкаДо18ЛетНаРебенкаИнвалида" Rate="175.50"/>
	<Item Date="20161101" Benefit="ПособиеНаВичИнфицРебенка" Rate="122.85"/>
	<Item Date="20170101" Benefit="ВСвязиСоСмертью" Rate="717.60"/>	
	<Item Date="20170201" Benefit="ПриРожденииРебенка" Rate="1801.00"/>
	<Item Date="20170201" Benefit="ПриРожденииВторогоИПоследующихДетей" Rate="2521.40"/>
	<Item Date="20170201" Benefit="ПриПостановкеНаУчетВРанниеСрокиБеременности" Rate="180.10"/>
	<Item Date="20170201" Benefit="ПоУходуЗаРебенкомДоТрехЛет" Rate="261.38"/>
	<Item Date="20170201" Benefit="ПоУходуЗаРебенкомДоТрехЛетНаВторогоРебенка" Rate="298.72"/>
	<Item Date="20170201" Benefit="ПособиеНаРебенкаДо3ЛетНаРебенкаИнвалида" Rate="336.06"/>
	<Item Date="20170201" Benefit="ПоУходуЗаРебенкомДоТрехЛетНаВторогоРебенка50ПроцентовБПМ" Rate="90.05"/>
	<Item Date="20170201" Benefit="ПособиеНаРебенкаСтарше3ЛетКромеРебенкаИнвалида" Rate="90.05"/>
	<Item Date="20170201" Benefit="ПособиеНаРебенкаСтарше3ЛетНаРебенкаИнвалида" Rate="126.07"/>
	<Item Date="20170201" Benefit="ПособиеНаРебенкаДо18ЛетНаРебенкаИнвалида" Rate="180.10"/>
	<Item Date="20170201" Benefit="ПособиеНаВичИнфицРебенка" Rate="126.07"/>
	<Item Date="20170201" Benefit="ВСвязиСоСмертью" Rate="801.60"/>	
	<Item Date="20170301" Benefit="ВСвязиСоСмертью" Rate="720.70"/>		
	<Item Date="20170501" Benefit="ПриРожденииРебенка" Rate="1838.20"/>
	<Item Date="20170501" Benefit="ПриРожденииВторогоИПоследующихДетей" Rate="2573.48"/>
	<Item Date="20170501" Benefit="ПриПостановкеНаУчетВРанниеСрокиБеременности" Rate="183.82"/>
	<Item Date="20170501" Benefit="ПоУходуЗаРебенкомДоТрехЛет" Rate="261.38"/>
	<Item Date="20170501" Benefit="ПоУходуЗаРебенкомДоТрехЛетНаВторогоРебенка" Rate="298.72"/>
	<Item Date="20170501" Benefit="ПособиеНаРебенкаДо3ЛетНаРебенкаИнвалида" Rate="336.06"/>
	<Item Date="20170501" Benefit="ПоУходуЗаРебенкомДоТрехЛетНаВторогоРебенка50ПроцентовБПМ" Rate="91.91"/>	
	<Item Date="20170501" Benefit="ПособиеНаРебенкаСтарше3ЛетКромеРебенкаИнвалида" Rate="91.91"/>
	<Item Date="20170501" Benefit="ПособиеНаРебенкаСтарше3ЛетНаРебенкаИнвалида" Rate="128.67"/>
	<Item Date="20170501" Benefit="ПособиеНаРебенкаДо18ЛетНаРебенкаИнвалида" Rate="183.82"/>
	<Item Date="20170501" Benefit="ПособиеНаВичИнфицРебенка" Rate="128.67"/>
</Items>
